STOREID|BARCODE
DEL0000001446|9084632000174
DEL0000001446|8901725101848
DEL0000001446|8901725134167
DEL0000001446|8904076601074
DEL0000001446|8901030439629
DEL0000001446|8901725132361
DEL0000001446|8901030630897
DEL0000001446|8901030630897
DEL0000001446|8901361302456
DEL0000001446|42204169
DEL0000001446|8901058843590
DEL0000001446|9081580438590
DEL0000001446|8901262151863
DEL0000001446|9012681521863
DEL0000001446|8901262151863
DEL0000001446|8904063251497
DEL0000001446|9084063200563
DEL0000001446|8901030439629
DEL0000001446|8904063252807
DEL0000001446|8901719104800
DEL0000001446|9018580847864
DEL0000001446|8049063200631
DEL0000001446|9012807017766
DEL0000001446|9081426002242
DEL0000001446|8906014092562
DEL0000001446|8906014092562
DEL0000001446|9806014025692
DEL0000001446|8901725321354
DEL0000001446|9806055100011
DEL0000001446|890156005381
DEL0000001446|8901058847864
DEL0000001446|465897021079
DEL0000001446|8908000863385
DEL0000001446|8901088017381
DEL0000001446|8908006436033
DEL0000001446|8901314116420
DEL0000001446|8904063200457
DEL0000001446|8910905020778
DEL0000001446|8901023005817
DEL0000001446|8091190208240
DEL0000001446|8901652141344
DEL0000001446|8096512141344
DEL0000001446|8901719703058
UPR0000002773|8901063035027
UPR0000002773|8904043603100
DEL0000001446|9081058849295
DEL0000001446|8069002342563
DEL0000001446|8901071211345
DEL0000001446|846597049578
DEL0000001446|865974495780
DEL0000001446|846597049578
DEL0000001446|8901030534898
DEL0000001446|8069027880484
DEL0000001446|9018042954585
DEL0000001446|846597031023
DEL0000001446|8901192225115
DEL0000001446|8906027880491
DEL0000001446|8901192224118
DEL0000001446|9086002004304
DEL0000001446|8901080967899
DEL0000001446|9015286211722
DEL0000001446|9081526211722
DEL0000001446|9018396321606
DEL0000001446|8901138819620
DEL0000001446|9086027880484
DEL0000001446|8908001935593
DEL0000001446|9890801935401
DEL0000001446|9088001935401
DEL0000001446|8904632000204
DEL0000001446|9068000610084
DEL0000001446|8904063202004
DEL0000001446|8091233022079
DEL0000001446|8901233022062
DEL0000001446|4902406823398
DEL0000001184|8901030516306
DEL0000001184|8901030516306
DEL0000001184|8901030627378
DEL0000001184|8901030627378
DEL0000001184|8901030516283
DEL0000001184|8901030516283
DEL0000001184|8901030597756
DEL0000001184|8901030583568
DEL0000001184|8901030591242
DEL0000001184|8901030516283
DEL0000001184|8901030516306
DEL0000001184|8901030627378
DEL0000001184|8901030341663
DEL0000001184|8901030516306
DEL0000001184|8901030516283
DEL0000001184|8901030583568
DEL0000001184|8901030597756
DEL0000001184|8901030516283
DEL0000001184|8901030516306
DEL0000001184|8901030597756
DEL0000001184|8901030597756
DEL0000001184|8901030597756
DEL0000001184|8901030597756
DEL0000001184|8901030627378
DEL0000001184|8901030627378
DEL0000001184|8901030583568
DEL0000001184|8901030583568
DEL0000001184|8901030597756
DEL0000001184|8901030597756
DEL0000001446|8906007282000
DEL0000001446|890103059125
DEL0000001446|4092430732819
DEL0000001446|490243073219
