BARCODE|CREATED_STAMP
8901242114307|2017-01-02 20:10:29.003
8904234102047|2017-01-02 20:11:36.735
8901242114307|2017-01-02 20:12:02.002
8901247573963|2017-01-02 20:12:05.122
8901030599200|2017-01-02 20:12:08.632
8901725134747|2017-01-02 20:12:11.643
8901725134747|2017-01-02 20:12:11.877
8901300616259|2017-01-02 20:12:22.610
8901030616259|2017-01-02 20:12:22.875
8901030616259|2017-01-02 20:12:23.172
8901030559792|2017-01-02 20:12:34.731
8910063025189|2017-01-02 20:18:33.369
8901058143102|2017-01-02 20:19:02.276
8901058143102|2017-01-02 20:19:02.510
8901030591242|2017-01-02 20:20:51.418
8906020730670|2017-01-02 20:22:01.762
8906002342587|2017-01-02 20:22:04.492
8904063252517|2017-01-02 20:22:31.689
8904063252517|2017-01-02 20:22:34.823
8904063200051|2017-01-02 20:22:38.099
8901030532993|2017-01-02 20:22:40.408
8906004970023|2017-01-02 20:23:38.630
4902430646437|2017-01-02 20:23:41.048
8139099058578|2017-01-02 20:24:11.296
8901030493096|2017-01-02 20:24:12.950
8901030493096|2017-01-02 20:24:13.153
8904135201513|2017-01-02 20:24:16.148
8901058842746|2017-01-02 20:32:07.758
8901725101848|2017-01-02 20:32:11.424
890106315506|2017-01-02 20:32:33.264
8901725181222|2017-01-02 20:32:36.478
8901030532993|2017-01-02 20:32:39.364
8901058842296|2017-01-02 20:32:42.203
8901030555442|2017-01-02 20:32:45.744
8901030555442|2017-01-02 20:32:46.430
8901030555442|2017-01-02 20:32:46.774
8901764012808|2017-01-02 20:32:50.455
8901277014849|2017-01-02 20:33:05.618
8901138821920|2017-01-02 20:33:22.976
8901088021692|2017-01-02 20:33:52.834
8901248240239|2017-01-02 20:34:00.665
8901314200044|2017-01-02 20:34:07.623
8901314200044|2017-01-02 20:34:09.308
8901888050182|2017-01-02 20:34:50.180
8901512540102|2017-01-02 20:35:11.240
8901063139190|2017-01-02 20:37:10.497
8901063139190|2017-01-02 20:37:11.011
